id,subcat_sed,direccion,cve_delg,ubicacion,nombre,superficie,perimetro,categoria
71,3,Periférico,14,,CAMELLON ANILLO PERIFERICO (Blvd. ADOLFO LOPEZ MAT,3254.55532654,976.636090285,2
72,4,Jazmín,9,,CERRO DE LA ESTRELLA,3620.61000239,654.825729771,1
73,5,,9,,CERRO DE LA ESTRELLA,352.202111479,139.795302389,1
74,8,Oriente 160,9,,,886.972201316,123.047509602,4
75,3,Antiguo Camino a San Pedro Mártir,14,,GLORIETA,5570.05654204,902.975106174,2
76,3,Calz. Ignacio Zaragoza,9,,,2842.48545297,1240.82208952,2
77,5,,9,,,38.020546051,28.6357484458,1
78,8,Sur 21,9,,,7061.94154414,476.876062995,4
79,7,Calle 6,9,,,2388.26187767,713.894548241,1
80,3,Circuito UACM,9,,,906.609975683,1183.60996144,2
81,3,San Fernando,14,,CAMELLON AV. SAN FERNANDO,331.729435282,161.38391629,2
82,3,Sotuta,14,,,543.850930189,102.060037049,2
83,3,Miguel Hidalgo,9,,,178.363605992,238.482510764,2
84,10,Lateral Periferico,14,,,956.145119917,235.68360519,2
85,7,,9,,,5326.34905193,473.858349018,1
86,2,DEL OLIMPO,14,,DEPORTIVO VILLA OLIMPICA,3739.9910721,238.645721518,1
87,3,Camino a Santa Teresa,14,,,106.088898655,78.8210151699,2
88,3,Batalla de Casa Blanca,9,,,1726.20841969,319.628998537,2
89,3,Universidad,9,,,2115.50140162,308.00513005,2
90,8,Tercera de Telecomunicaciones,9,,,1593.79663539,443.849328661,4
91,3,Tixkokob,14,,,5196.61338821,511.1547185,2
92,8,,9,,,131.425349645,54.5758097959,4
93,4,,14,,,21.4838823361,22.6374547103,1
94,3,Hacienda Mazatepec,14,,,451.889364446,294.728551769,2
95,8,Agricultores,9,EJE 3,JARDIN DE ARNESES,3591.59513394,668.606837088,4
96,5,De Los Tenorios,14,,,17409.5710628,960.97019558,1
97,3,Av. Batallón Ligero de Toluca,9,,,297.447026742,260.888864721,2
98,10,Sacalum,14,,,2604.97160176,708.661369022,2
99,3,Sebastián Lerdo de Tejada,14,,,816.746012759,498.658537017,2
100,3,Hacienda de Amazcala,14,,,361.708804472,220.695301941,2
101,8,Hacienda de Amazcala,14,,CAMELLON AV. DIVISION DEL NORTE,4013.38637266,437.396696067,4
102,3,Fuente de los Molinos,14,,,822.204140464,184.682539209,2
103,5,,9,,,97.765056853,42.666643824,1
104,3,1 ORIENTE (AVENIDA CANAL DE MIRAMONTES),14,,GLORIETA VAQUERITOS,2111.23709825,359.885711464,2
105,8,Revolución Social,9,,,5776.93608049,820.94453045,4
106,3,Prol. Anillo Periférico,9,,,3386.34330217,790.942511782,2
107,3,Fuente de las Estrellas,14,,,340.37198462,188.39338128,2
108,3,San Juan de Dios,14,,,113.836372817,80.2326325317,2
109,5,Avenida Congreso de la Unión,15,,,2123.64539158,472.840785378,1
110,3,Artilleros,15,,,899.60127725,248.253162117,2
111,5,Revolución,15,,,948.894235256,221.832763241,1
112,5,Saturno,9,,,3566.77371961,553.343973884,1
113,9,3er Anillo de Circunvalacion,9,,,75.1690979548,43.0211893396,2
114,3,Plan de San Luis,9,,,4595.38593126,917.759075579,2
115,8,Santa Cruz Meyehualco,9,,,836822.720292,4209.71649938,4
116,5,,9,,,92.5341330494,43.4229164216,1
117,4,Luis Mendez,9,,,512.546991472,141.15149896,1
118,5,Calle 47,9,,,,,1
119,4,,9,,,442.873085237,154.837375649,1
121,4,LICENCIADO D. PASTRANA,9,,,1527.35421708,163.85996397,1
122,3,,9,,,579.961874567,347.901170603,2
123,11,,9,,,45.3915030793,32.198682533,1
124,12,Eduardo Vasconcelos,9,,,3422.24818244,287.234571238,4
125,13,Francisco J. Múgica,9,,,52.3831163207,31.1330667371,1
126,13,,9,,,29.9274254361,22.5770219351,1
127,5,Aeronáutica,9,,,124042.309723,5986.71885064,1
128,8,Pipila,9,,,6255.54542556,827.449784683,4
129,3,Morelos,9,,,65.2747361117,79.269381715,2
131,4,NINGUNO,9,,CERRO DE LA ESTRELLA,1586.87768902,769.662476651,1
132,8,BENITO JUREZ,9,,,4452.53635366,301.439639335,4
133,2,,8,,,268.798320653,128.998373345,1
134,2,Pedro Aceves,9,,,24841.13491,1042.67062191,1
135,2,Cuauhtémoc,9,,,60444.2781394,1065.91332717,1
136,8,Av. Girasol,8,,UNIDAD HABITACIONAL (INFONAVIT),7613.99203548,430.788488532,4
137,8,Av. Sinatel,9,"AV. CINATEL, SUR 63 Y ARBOLEDAS",PARQUE CINATEL,1414.9683245,176.759512297,4
138,5,,8,,CIUDAD DEPORTIVA MAGDALENA MIXIHUCA,361.422057646,85.0234029766,1
139,14,Andador sur,8,PLUTARCO ELIAS CALLES - LA VIGA.,ANDADOR  SUR,3235.33313067,662.601232223,3
140,5,,9,,,289.749332882,69.0644589026,1
141,5,,9,,,681.826425706,160.990308356,1
142,3,Av. 5,9,,CAMELLON EJE 3 OTE. (FRANCISCO DEL PASO Y TRONC),1059.59101688,216.719103823,2
143,5,,9,,,226.518175584,68.2017116874,1
144,5,,9,,,27.4128070109,21.8274014336,1
145,2,Hueltaco,9,,,11894.7513822,568.99981171,1
146,7,,9,,,1199.61847462,288.731264366,1
147,3,Niños Héroes,9,,,278.824393776,305.960156498,2
148,15,Puente Casual,9,,,724.622913603,637.894831612,6
149,16,Av. 5,9,,CAMELLON EJE 3 OTE. (FRANCISCO DEL PASO Y TRONC),365.422375265,403.840788277,6
150,3,Luis Cabrera,10,,,1275.7901788,409.031779757,2
151,5,,9,,,2616.68387881,321.922725709,1
152,5,,9,,,61.7584294197,41.3278117856,1
153,5,Ignacio Allende,9,,,1569.27454236,452.361829125,1
154,3,Calzada Generalisimo Morelos,9,,CAMELLON AV. GRAL. IGNACIO ZARAGOZA,3858.23162762,517.295806989,2
155,8,Nogal,9,,,1289.95493535,171.37957487,4
156,3,Avenida de las Torres,10,AV. DE LAS TORRES,CAMELLON AV. LAS TORRES,378.195112573,94.5130755251,2
157,3,Calzada Ignacio Zaragoza,9,,CAMELLON AV. GRAL. IGNACIO ZARAGOZA,1585.46106805,349.259224699,2
158,3,Supervía Poniente,10,,TRIANGULO,2074.71250752,560.463650199,2
159,5,Calle Esperanza,10,,,277.264416279,81.7959848777,1
160,5,Toluca,10,,,182.782370868,75.0197967678,1
161,3,Supervía Poniente,10,,BARRANCA TEXCALATLACO,986.93576101,155.226109201,2
162,8,Jacarandas,13,AV. LA TURBA ESQ. AVENIDA HEBERTO CASTILLO,BOSQUE DE TLAHUAC,133381.684569,3567.70682797,4
163,3,NINGUNO,13,,,347.564719124,213.346392813,2
164,3,TLHUAC-TULYEHUALCO,13,,SUELO DE CONSERVACION,48.3797677305,30.1972808636,2
165,5,Huauchinango,10,,,210.737879137,84.4662037698,1
166,5,Potrerillo,10,,,2036.32438394,386.015704361,1
167,3,Monte Líbano,11,DE BOULEVARD M. AVILA CAMACHO A MONTAÑAS ROCOLLOSA,CAMELLON AV. PASEO DE LA REFORMA,2785.25156509,538.507892677,2
168,3,Monte Athos,11,DE BOULEVARD M. AVILA CAMACHO A MONTAÑAS ROCOLLOSA,CAMELLON AV. PASEO DE LA REFORMA,1477.20912529,303.135986112,2
169,8,Avenida Agustín Lara,13,AV. JUVENTINO ROSAS ESQUINA  AV. AGUSTIN LARA COLONIA SAN JOSE,JARDIN SAN JOSE,107.44693796,41.0494999351,4
170,3,Estaño,15,,,806.702017262,195.519474237,2
171,3,Montes Cheviot,11,DE AV. PRADO SUR A MONTA�AS ROCOLLOSAS,CAMELLON AV. DE LOS VIRREYES,473.80576355,185.916978924,2
172,3,Goldsmith,11,,,339.084468404,142.407639927,2
173,3,Presa Pabellón,11,,CAMELLON AV. MIGUEL DE SERVANTES SAAVEDRA,206.014999805,89.2544494183,2
174,3,Sierra Tarahumara Poniente,11,,BARRANCA BARRILACO,213.002701958,146.349074895,2
175,3,De los Maestros,11,,,1096.57629881,443.946311399,2
176,9,Paseo de la Reforma,11,,GLORIETA,349.075107714,68.5812003386,2
177,1,,11,,,7786.23367228,352.990325792,1
178,3,Paseo de la Reforma,11,,PARQUE LOMAS DE REFORMA,3090.31263265,595.941587819,2
179,3,Lamartine,11,DE BOULEVARD M. AVILA CAMACHO A AV.MOLIERE,CAMELLON AV. HOMERO,542.129149162,199.73194489,2
180,3,Blv. Miguel de Cervantes,11,,CAMELLON AV. MIGUEL DE SERVANTES SAAVEDRA,279.612237599,87.8577765845,2
181,3,Priv. Horacio,11,DE BLVD.M. AVILA CAMACHO A AV. MOLIERE,CAMELLON AV. HORACIO,1282.40807991,180.814552852,2
182,3,A. U. Norte,11,,CAMELLON PERIFERICO (Blvd. MANUEL AVILA CAMACHO),2434.45070338,311.829318772,2
183,3,Av. Presidente Masaryk,11,DE AV. MOLIERE A FF.CC.,CAMELLON AV. PRESIDENTE MASARIK,477.027471371,173.366654557,2
184,8,Bosque de Castaños,11,,BOSQUES DE LAS LOMAS (PARQUE JACARANDAS),29750.7995508,722.507979343,4
185,9,Calzada Mexico - Tacuba,11,,GLORIETA,8664.99617542,371.774131579,2
186,8,Paseo de la Reforma,11,PASEO DE LA REFORMA DE AV. MONTAÑAS ROCOLLOSAS A A,PARQUE VIA REFORMA,8658.40400976,578.11193487,4
187,9,Explanada,11,,CAMELLON MONTE EVEREST,772.241205117,99.4377435836,2
188,3,Prado Sur,11,DE BOULEVARD M. AVILA CAMACHO A MONTAÑAS ROCOLLOSA,CAMELLON PASEO DE LA REFORMA,1743.66858626,573.552304501,2
189,3,Av. Ejército Nacional,11,,CAMELLON AV. EJERCITO NACIONAL MEXICANO,1143.00220137,765.811322587,2
190,3,Presa Salinillas,11,,CAMELLON AV. PRESA SALINILLAS,443.163444388,211.100405954,2
191,3,Campos Elíseos,11,DE PASEO DE LA REFORMA A AV. MARIANO ESCOBEDO,CAMELLON AV. CAMPOS ELISEOS,247.963707561,139.422103407,2
192,3,Mar de las Lluvias,13,,,66.5071540246,47.2595034276,2
193,3,Montes de las Cordilleras,13,,,929.834765384,373.345023979,2
194,3,Mar de los Nublados,13,,,56.174136261,82.9507983578,2
195,3,Enrique Lombardo,13,,,80.6783767691,96.4619174013,2
196,3,Ramón Cardona,13,,,213.885576359,196.460145291,2
197,3,David Gómez,13,,,301.637116778,187.85242885,2
198,3,Sonido Trece,13,,,148.078800837,84.7898669407,2
199,8,Juan Bretel,13,CALLE NARDO Y LIZ,PARQUE RECREATIVO MIGUEL HIDALGO,62.835881646,33.9769809991,4
200,8,,13,AV. LA TURBA ESQ. AVENIDA HEBERTO CASTILLO,BOSQUE DE TLAHUAC,5243.57186607,633.275147508,4
201,3,Gitana,13,,,182.765035672,88.6041764448,2
202,3,Avenida Tláhuac,13,,,126.115232603,84.853167913,2
203,3,Avenida Tláhuac,13,,,144.664795881,73.8811076306,2
204,3,Gabriela Mistral,13,,SUELO DE CONSERVACION,217.878798893,277.763644689,2
205,3,Gabriela Mistral,13,,SUELO DE CONSERVACION,75.1026809515,106.855359493,2
206,8,Heberto Castillo,13,AV. LA TURBA ESQ. AVENIDA HEBERTO CASTILLO,BOSQUE DE TLAHUAC,3508.09232658,317.640769823,4
207,8,,13,AV. LA TURBA ESQ. AVENIDA HEBERTO CASTILLO,BOSQUE DE TLAHUAC,43560.9622523,1624.30673066,4
208,3,Adriana,13,,CAMELLON AV. LA TURBA,76.4314155157,70.4979931024,2
209,3,Camarón,13,,CAMELLON AV. LA TURBA,77.5777538899,91.0631231369,2
210,8,Don Pascuale,13,AV. STA. CRUZ DEODATO,PARQUE SOLIDARIDAD,4849.33896648,922.258068507,4
211,8,,13,AV. STA. CRUZ DEODATO,PARQUE SOLIDARIDAD,1253.55896976,157.864971208,4
212,8,Kenya,14,COSTA DE MARFIL Y KENIA,PARQUE CHIMALI,8165.57207594,465.463062756,4
213,8,Cueva,14,TALUD CUEVA PROL. MIRAMONTES,PARQUE HDA. SAN JUAN,17849.1191804,566.598722229,4
214,5,Lateral Periferico,14,,CAMELLON AV. CANAL DE MIRAMONTES,24788.9810027,1808.50856052,1
215,5,Transmisiones,14,,,1122.62032118,222.041547318,1
216,5,,14,,,353.856426387,104.772923441,1
217,3,Tenosique,14,,CAMELLON AV. CHICOASEN,1359.35675287,314.859947175,2
218,3,Acueducto,14,,CAMELLON AV. ACUEDUCTO,1355.82018087,285.154697353,2
219,10,Calzada de Tlalpan,14,,CAMELLON AV. INSURGENTES SUR,592.415029656,130.827631802,2
220,3,Periférico,14,,SUELO DE CONSERVACION,1040.83405119,289.754580891,2
221,3,Periférico,14,,CAMELLON ANILLO PERIFERICO (Blvd. ADOLFO LOPEZ MAT,147.948922712,99.9390855227,2
222,3,Lateral Periferico,14,,CAMELLON ANILLO PERIFERICO (Blvd. ADOLFO LOPEZ MAT,1375.28148509,485.57899315,2
223,10,Juan Badiano,14,,GLORIETA,6439.81289375,701.131003862,2
224,3,Ferrocarril de Cuernavaca - Ciclopista,14,,CAMELLON AV. TARASQUILLO,270.88347274,130.480123674,2
225,3,Calzada de Tlalpan,14,,CAMELLON FRAY PEDRO DE GANTE,180.01146907,230.503999454,2
226,8,Niño Jesús,14,ALLENDE Y SAN FERNANDO,PARQUE NACER Y RENACER,2289.73779982,229.792579364,4
227,8,Ignacio Allende,14,ALLENDE Y SAN FERNANDO,PARQUE NACER Y RENACER,3294.22142995,281.992732224,4
228,3,Tixkokob,14,,CAMELLON AV. TIXKOKOB,2361.90308285,346.647492454,2
229,3,Ferrocarril de Cuernavaca - Ciclopista,14,,CAMELLON AV. MANI,882.112737709,192.545732253,2
230,3,Ferrocarril de Cuernavaca - Ciclopista,14,,CAMELLON AV. TARASQUILLO,67.4042406733,56.5001496498,2
231,10,LATERAL PERIFRICO,14,,,124.704802752,47.685376109,2
232,8,Cantera,14,,,8227.72090827,769.076172578,4
233,3,Flor Silvestre,14,,CAMELLON AV. FEDERAL A CUERNAVACA,450.985601428,224.039484223,2
234,10,,14,AV. INSURGENTES ESQ. PERIFERICO,PLAZA CANDIDO MAYO,4921.68498037,260.386032033,2
235,3,Sisal,14,,,761.44887091,265.504003753,2
236,3,Camino a Santa Teresa,14,,CAMELLON AV. ZACATEPETL,465.34411065,440.50597062,2
237,3,Camino a Santa Teresa,14,,CAMELLON AV. MONTE COPIAPO,896.537029621,319.117945309,2
238,10,Guadalajara,14,,,160.172318796,98.5086706449,2
239,17,,14,,,808.954223672,170.49197235,7
240,3,BOULEVARD PICACHO AJUSCO,14,PERIFERICO Y PICACHO AJUSCO,PARQUE COSSIO VILLEGAS,941.825579767,213.542336995,2
241,3,Boulevard Picacho Ajusco,14,,CAMELLON AV. PICACHO-AJUSCO,645.410244196,195.694029605,2
242,5,,14,,,1102.48234728,280.72632103,1
243,10,Ferrocarril de Cuernavaca - Ciclopista,14,,CAMELLON AV. TARASQUILLO (F.C. DE CUERNAVACA),1440.22676468,331.098204367,2
244,4,Canal Nacional,14,,,4821.04342806,1090.61978426,1
245,3,Cañaverales,14,,,58.0333679525,86.1270701583,2
246,3,Sauzales,14,,,161.160267313,90.807521978,2
247,2,Calle 8,14,CALLE 7 AV. 1 Y CALLE 8,PARQUE DIGNA OCHOA,6365.57951421,755.918224535,1
248,5,FLORALES,14,,,1507.27440031,356.129246047,1
249,8,Ingenio San Gabriel,14,,PARQUE INGENIO ABEJA CASASANO,2681.1738359,270.521742302,4
250,3,De Los Tenorios,14,,,150.435902787,84.4773064087,2
251,3,Calzada de las Brujas,14,,,48.3389688114,48.3047504447,2
252,3,Línea 4,14,DE PASEO DEL PEDREGAL A OBSERVATORIO,CAMELLON ANILLO PERIFERICO (Blvd. ADOLFO LOPEZ MAT,398.816188425,98.6153848737,2
253,3,Avenida Cobalto,14,,,86.0353129676,83.1725638972,2
254,3,Rancho Piomo,14,,,40.2861796599,31.4394630702,2
255,8,Club Deportivo León,14,,,8861.63650787,446.766315132,4
256,8,Club América,14,,,1451.41194383,158.687676119,4
257,8,Fuentes del Pedregal,14,,CAMELLON AV. SANTA TERESA,22958.3510812,623.716765114,4
258,3,Potrero,14,,CAMELLON AV. ACOXPA,623.426168839,232.284509087,2
259,3,Calzada Acoxpa,14,,CAMELLON AV. ACOXPA,1248.49017003,423.197801987,2
260,3,Calzada Acoxpa,14,,CAMELLON AV. ACOXPA,1215.39948306,380.519562261,2
261,10,Cruz del Farol,14,,,1605.37860679,353.064350469,2
262,3,Belisario Dominguez,14,,CAMELLON AV. CANAL DE MIRAMONTES,965.191019992,470.691620259,2
263,3,Vidal haire,15,IZTACCIHUATL,CAMELLON AV. IZTACCIHUATL,1800.34608946,591.624894889,2
264,7,,15,,,30118.5083507,2377.26778532,1
265,3,Calz. Ignacio Zaragoza,15,CALZ. IGNACIO ZARAGOZA,CAMELLON AV. CALZADA IGNACIO ZARAGOZA,515.500682313,152.188761344,2
266,2,Privada Torio,15,,,2069.93528266,246.138043542,1
267,5,Carpinteria,15,,,16.58532457,21.7148034995,1
268,6,Imprenta,15,,,1317.53454,214.555436882,3
269,7,Oriente 158,15,,,1592.03120676,609.885238133,1
270,6,Cda. Ing. Eduardo Molina,15,,,1543.12947736,157.965470197,3
271,2,Peluqueros,15,"ING. EDUARDO MOLINA, ESQ. PELUQUEROS",PARQUE EDUARDO MOLINA,69489.851317,1135.42820861,1
272,3,Calz. de la Viga,15,,,1924.28679953,336.904011361,2
273,8,Cerilleria,15,,CANAL DE DESAGUE (EMILIANO ZAPATA),4418.09896171,317.068729375,4
274,3,Av. Peñon,15,,CANAL DE DESAGUE (EMILIANO ZAPATA),4367.10664603,671.72305589,2
275,5,,15,,,26.1792735287,21.3810139743,1
276,6,Prolongación Río Churubusco,15,,,5535.06919078,1071.41328843,3
277,8,Albañiles,15,,CANAL DE DESAGUE (EMILIANO ZAPATA),6643.94475207,479.738104439,4
278,5,Ret. 12,15,,,708.034029227,288.928033596,1
279,3,Avenida Gran Canal,15,,CANAL DE DESAGUE (EMILIANO ZAPATA),1052.57931081,237.473530399,2
280,5,Bolivares,15,,,2139.28247973,533.320925645,1
281,3,Damasco,15,,,1095.15827018,1462.81986068,2
282,6,Puerto Arturo,15,,,829.883592013,128.718241264,3
283,3,Anselmo de la Portilla,15,CALZ. IGNACIO ZARAGOZA,CAMELLON AV. CALZADA IGNACIO ZARAGOZA,9352.09747967,2505.10948832,2
284,5,Ret. 5 de M. Rivera Cambas,15,,,98.894317037,39.8204641195,1
285,3,Ret. 2 de Cecilio Robelo,15,,,626.862437502,135.660637987,2
286,3,Fray Servando Teresa de Mier,15,FRAY SERVANDO TERESA DE MIER Y CONGRE. DE LA UNION,PARQUE CHIAPAS,3841.54449967,2596.18056171,2
287,14,Sur 81,15,"AV. DEL TALLER Y YUNQUE, COL ARON SAENZ",PARQUE DEL OBRERO,6802.07840205,352.96963727,3
288,3,Río de la Piedad,15,"VIADUCTO Y GUILLERMO PRIETO, COL. PUEBLO DE MAG.",PARQUE DIEZ DE DICIEMBRE,3173.67108484,1052.05429769,2
289,8,Río de la Piedad,15,,,2739.35897308,366.111290975,4
290,3,Lateral Nte. Av. del Taller,15,,CAMELLON GENARO GARCIA,1579.52751516,1203.48843435,2
291,9,Calz. Ignacio Zaragoza,15,CALZ. IGNACION ZARAGOZA,CAMELLON CALZADA IGNACIO ZARAGOZA,1874.84552212,160.995515267,2
292,7,Lorenzo Boturini,15,,CAMELLON LORENZO BOTURINI,8825.19014607,1819.15436347,1
293,3,,15,,,691.861324101,130.02529682,2
294,5,Quetzalcóatl,15,,,86.7153147874,47.1274314112,1
295,8,San Antonio Tomatlán,15,,,597.368110053,127.371616514,4
296,5,,15,,,899.215097346,173.310786945,1
297,3,Ernesto P. Uruchurtu,15,,,56.8788131513,92.0655178044,2
298,16,,15,,,2464.67897177,263.698331656,6
299,8,Plaza del Ejecutivo,15,CENTRO DE LA COL. FEDERAL,PLAZA DEL PODER EJECUTIVO,6996.83574269,572.537226515,4
300,3,Oriente 158,15,,,454.535382177,145.158315931,2
301,18,Camino Real a San Mateo,16,,,270477.256247,3002.50248053,6
302,7,5 de Mayo,16,,,9744.97073777,2700.11386863,1
303,3,,16,,0,2904.02602539,507.484841291,2
304,19,Camino Real a Xochimilco,16,,0,27098.4780457,746.590741358,6
305,5,Czda San Bernardino,16,C. DURAZNO ENTRE LA NORIA Y POTRERO SN. BERNARDINO,CAMPOS DE FUTBOL JUNTO A LA PREPARATORIA NO. 1,21196.2216222,2737.46125495,1
306,19,Guadalupe I. Ramirez,16,,0,15571.4802356,597.712693764,6
307,3,Guadalupe I. Ramírez,16,ENTRE PROL. DIVISION DEL NORTE Y GLADIOLAS,CAMELLON AV. GPE. I. RAMIREZ,709.27909161,234.291129135,2
308,3,16 de Septiembre,16,ENTRE PROL. DIVISION DEL NORTE Y GLADIOLAS,CAMELLON AV. GPE. I. RAMIREZ,2602.04877468,856.334910666,2
309,2,Francisco I. Madero,16,,0,16733.0556388,538.777619542,1
310,2,Av. Amazuac,16,,0,3844.78131456,256.683507643,1
311,3,San Lorenzo,16,,,2894.90514149,661.786173886,2
312,3,Esmeralda,16,,0,4643.24934473,462.134347886,2
313,9,Prol. División del Norte,16,,0,2268.78136595,278.251876827,2
314,3,Avenida Insurgentes Norte,7,,CAMELLON INSURGENTES NORTE (AV. MEXICO-PACHUCA),4260.47799253,332.43332802,2
315,5,,7,,,323.615529523,87.3896208923,1
316,3,México-Pachuca,7,,CAMELLON INSURGENTES NORTE (AV. MEXICO-PACHUCA),645.70332748,124.968483915,2
