10,1,1,13711
10,2,1,14272
10,1,2,15561
10,2,2,15895
12,1,1,19308
12,2,1,20091
12,1,2,23369
12,2,2,23667
14,1,1,8334
14,2,1,8442
14,1,2,9464
14,2,2,8830
4,1,1,41281
4,2,1,43052
4,1,2,44809
4,2,2,46768
2,1,1,13495
2,2,1,14264
2,1,2,15293
2,2,2,15348
7,1,1,70085
7,2,1,73108
7,1,2,74912
7,2,2,75828
16,1,1,9304
16,2,1,9585
16,1,2,9901
16,2,2,10068
13,1,1,6468
13,2,1,6977
13,1,2,6643
13,2,2,6748
9,1,1,27247
9,2,1,27601
9,1,2,30073
9,2,2,29868
6,1,1,15738
6,2,1,16651
6,1,2,16610
6,2,2,16963
11,1,1,25919
11,2,1,27036
11,1,2,28401
11,2,2,29172
5,1,1,17223
5,2,1,17733
5,1,2,18340
5,2,2,18639
15,1,1,9407
15,2,1,9563
15,1,2,12760
15,2,2,12351
1,1,1,15628
1,2,1,16162
1,1,2,19252
1,2,2,19045
8,1,1,11257
8,2,1,11337
8,1,2,13788
8,2,2,13256
3,1,1,14875
3,2,1,15235
3,1,2,16380
3,2,2,16603
